symbol;name;short_name;sector;industry
A;Agilent Technologies Inc. Common Stock;Agilent Technologies;Industrials;Electrical Products
AA;Alcoa Corporation Common Stock ;Alcoa Corporation;Industrials;Metal Fabrications
AAC;Ares Acquisition Corporation Class A Ordinary Shares;Ares Acquisition;Industrials;Metal Fabrications
AACG;ATA Creativity Global American Depositary Shares;ATA Creativity Global;Consumer Discretionary;Service to the Health Industry
AACI;Armada Acquisition Corp. I Common Stock;Armada Acquisition I;Industrials;Consumer Electronics/Appliances
AACIU;Armada Acquisition Corp. I Unit;Armada Acquisition I Unit;Industrials;Consumer Electronics/Appliances
AACIW;Armada Acquisition Corp. I Warrant;Armada Acquisition I Warrant;Industrials;Consumer Electronics/Appliances
AADI;Aadi Bioscience Inc. Common Stock;Aadi Bioscience;Health Care;Biotechnology: Pharmaceutical Preparations
AAIC;Arlington Asset Investment Corp Class A (new);Arlington Asset Investment;Real Estate;Real Estate Investment Trusts
AAIN;Arlington Asset Investment Corp 6.000% Senior Notes Due 2026;Arlington Asset Investment;Finance;Finance/Investors Services
AAL;American Airlines Group Inc. Common Stock;American Airlines;Consumer Discretionary;Air Freight/Delivery Services
AAMC;Altisource Asset Management Corp Com;Altisource Asset Management;Finance;Investment Managers
AAME;Atlantic American Corporation Common Stock;Atlantic American;Finance;Life Insurance
AAN;Aarons Holdings Company Inc. Common Stock ;Aarons Holdings;Consumer Discretionary;Diversified Commercial Services
AAOI;Applied Optoelectronics Inc. Common Stock;Applied Optoelectronics;Technology;Radio And Television Broadcasting And Communications Equipment
AAON;AAON Inc. Common Stock;AAON;Industrials;Industrial Machinery/Components
AAP;Advance Auto Parts Inc.;Advance Auto Parts;Consumer Discretionary;Auto & Home Supply Stores
AAPL;Apple Inc. Common Stock;Apple;Technology;Computer Manufacturing
AAT;American Assets Trust Inc. Common Stock;American Assets Trust;Real Estate;Real Estate Investment Trusts
AAU;Almaden Minerals Ltd. Common Shares;Almaden Minerals;;
AB;AllianceBernstein Holding L.P.  Units;AllianceBernstein Holding;Finance;Investment Managers
ABB;ABB Ltd Common Stock;ABB;Energy;Electrical Products
ABBV;AbbVie Inc. Common Stock;AbbVie;Health Care;Other Pharmaceuticals
ABC;AmerisourceBergen Corporation Common Stock;AmerisourceBergen;Health Care;Other Pharmaceuticals
ABCB;Ameris Bancorp Common Stock;Ameris Bancorp;Finance;Major Banks
ABCL;AbCellera Biologics Inc. Common Shares;AbCellera Biologics;Health Care;Pharmaceuticals and Biotechnology
ABCM;Abcam plc American Depositary Shares;Abcam;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
ABEO;Abeona Therapeutics Inc. Common Stock;Abeona Therapeutics;Health Care;Biotechnology: Pharmaceutical Preparations
ABEV;Ambev S.A. American Depositary Shares (Each representing 1 Common Share);Ambev;Consumer Staples;Beverages (Production/Distribution)
ABG;Asbury Automotive Group Inc Common Stock;Asbury Automotive;Consumer Discretionary;Other Specialty Stores
ABIO;ARCA biopharma Inc. Common Stock;ARCA biopharma;Health Care;Biotechnology: In Vitro & In Vivo Diagnostic Substances
ABM;ABM Industries Incorporated Common Stock;ABM Industries;Consumer Discretionary;Diversified Commercial Services
ABNB;Airbnb Inc. Class A Common Stock;Airbnb;Consumer Discretionary;Hotels/Resorts
ABOS;Acumen Pharmaceuticals Inc. Common Stock;Acumen Pharmaceuticals;Health Care;Biotechnology: Pharmaceutical Preparations
ABR;Arbor Realty Trust Common Stock;Arbor Realty Trust;Real Estate;Real Estate Investment Trusts
ABSI;Absci Corporation Common Stock;Absci Corporation;Health Care;Biotechnology: Pharmaceutical Preparations
ABST;Absolute Software Corporation Common Stock;Absolute Software;;
ABT;Abbott Laboratories Common Stock;Abbott Laboratories;Health Care;Medical/Dental Instruments
ABUS;Arbutus Biopharma Corporation Common Stock;Arbutus Biopharma;Health Care;Pharmaceuticals and Biotechnology
ABVC;ABVC BioPharma Inc. Common Stock;ABVC BioPharma;Health Care;Biotechnology: Pharmaceutical Preparations
AC;Associated Capital Group Inc. Common Stock;Associated Capital;;
ACA;Arcosa Inc. Common Stock ;Arcosa;Industrials;Oilfield Services/Equipment
ACAB;Atlantic Coastal Acquisition Corp. II Class A Common Stock;Atlantic Coastal Acquisition II;Industrials;Consumer Electronics/Appliances
